split,group,name,rows,cols,nnz,kind,status,path
full_eval,Bomhof,circuit_3,12127,12127,48137,circuit simulation problem,downloaded,data/full_eval_10k_20k/circuit_3.mtx
full_eval,LiuWenzhuo,powersim,15838,15838,64424,power network problem,downloaded,data/full_eval_10k_20k/powersim.mtx
full_eval,AG-Monien,L-9,17983,17983,71192,2D/3D problem,downloaded,data/full_eval_10k_20k/L-9.mtx
full_eval,Cote,vibrobox,12328,12328,301700,acoustics problem,downloaded,data/full_eval_10k_20k/vibrobox.mtx
full_eval,IPSO,OPF_3754,15435,15435,141478,power network problem,downloaded,data/full_eval_10k_20k/OPF_3754.mtx
full_eval,Gupta,gupta3,16783,16783,9323427,optimization problem,downloaded,data/full_eval_10k_20k/gupta3.mtx
full_eval,Botonakis,FEM_3D_thermal1,17880,17880,430740,thermal problem,downloaded,data/full_eval_10k_20k/FEM_3D_thermal1.mtx
full_eval,FEMLAB,poisson3Da,13514,13514,352762,computational fluid dynamics problem,downloaded,data/full_eval_10k_20k/poisson3Da.mtx
full_eval,Arenas,PGPgiantcompo,10680,10680,48632,undirected multigraph,downloaded,data/full_eval_10k_20k/PGPgiantcompo.mtx
full_eval,GHS_indef,ncvxqp9,16554,16554,54040,optimization problem,downloaded,data/full_eval_10k_20k/ncvxqp9.mtx
full_eval,Schenk_ISEI,igbt3,10938,10938,130500,semiconductor device problem,downloaded,data/full_eval_10k_20k/igbt3.mtx
full_eval,HB,bcsstk17,10974,10974,428650,structural problem,downloaded,data/full_eval_10k_20k/bcsstk17.mtx
full_eval,TSOPF,TSOPF_RS_b39_c7,14098,14098,252446,power network problem,downloaded,data/full_eval_10k_20k/TSOPF_RS_b39_c7.mtx
full_eval,IBM_Austin,coupled,11341,11341,97193,circuit simulation problem,downloaded,data/full_eval_10k_20k/coupled.mtx
full_eval,VDOL,lowThrust_8,17702,17702,216445,optimal control problem,downloaded,data/full_eval_10k_20k/lowThrust_8.mtx
full_eval,Oberwolfach,gyro,17361,17361,1021159,model reduction problem,downloaded,data/full_eval_10k_20k/gyro.mtx
full_eval,UTEP,Dubcova1,16129,16129,253009,2D/3D problem,downloaded,data/full_eval_10k_20k/Dubcova1.mtx
full_eval,ACUSIM,Pres_Poisson,14822,14822,715804,computational fluid dynamics problem,downloaded,data/full_eval_10k_20k/Pres_Poisson.mtx
full_eval,Rommes,nopss_11k,11685,11685,44941,eigenvalue/model reduction problem,downloaded,data/full_eval_10k_20k/nopss_11k.mtx
full_eval,Hollinger,mark3jac040,18289,18289,106803,economic problem,downloaded,data/full_eval_10k_20k/mark3jac040.mtx
full_eval,PARSEC,Si5H12,19896,19896,738598,theoretical/quantum chemistry problem,downloaded,data/full_eval_10k_20k/Si5H12.mtx
full_eval,JGD_Trefethen,Trefethen_20000,20000,20000,554466,combinatorial problem,downloaded,data/full_eval_10k_20k/Trefethen_20000.mtx
full_eval,Pajek,FA,10617,10617,72176,directed weighted graph,downloaded,data/full_eval_10k_20k/FA.mtx
full_eval,DNVS,crplat2,18010,18010,960946,structural problem,downloaded,data/full_eval_10k_20k/crplat2.mtx
full_eval,CPM,cz10228,10228,10228,102876,2D/3D problem,downloaded,data/full_eval_10k_20k/cz10228.mtx
full_eval,Mallya,lhr17c,17576,17576,381975,chemical process simulation problem,downloaded,data/full_eval_10k_20k/lhr17c.mtx
full_eval,SNAP,wiki-RfA,11380,11380,188077,directed weighted temporal multigraph,downloaded,data/full_eval_10k_20k/wiki-RfA.mtx
full_eval,Goodwin,Goodwin_040,17922,17922,561677,computational fluid dynamics,downloaded,data/full_eval_10k_20k/Goodwin_040.mtx
full_eval,Boeing,crystm02,13965,13965,322905,materials problem,downloaded,data/full_eval_10k_20k/crystm02.mtx
full_eval,Rajat,rajat08,19362,19362,83443,circuit simulation problem,downloaded,data/full_eval_10k_20k/rajat08.mtx
full_eval,Bindel,ted_AB,10605,10605,522387,thermal problem,downloaded,data/full_eval_10k_20k/ted_AB.mtx
full_eval,FIDAP,ex19,12005,12005,259577,computational fluid dynamics problem,downloaded,data/full_eval_10k_20k/ex19.mtx
full_eval,Lourakis,bundle1,10581,10581,770811,computer graphics/vision problem,downloaded,data/full_eval_10k_20k/bundle1.mtx
full_eval,DIMACS10,vsp_befref_fxm_2_4_air02,14109,14109,196448,random unweighted graph,downloaded,data/full_eval_10k_20k/vsp_befref_fxm_2_4_air02.mtx
full_eval,TKK,cbuckle,13681,13681,676515,structural problem,downloaded,data/full_eval_10k_20k/cbuckle.mtx
full_eval,Gaertner,big,13209,13209,91465,directed weighted graph,downloaded,data/full_eval_10k_20k/big.mtx
full_eval,Mycielski,mycielskian14,12287,12287,3695512,undirected graph,downloaded,data/full_eval_10k_20k/mycielskian14.mtx
full_eval,Grund,bayer02,13935,13935,63307,chemical process simulation problem,downloaded,data/full_eval_10k_20k/bayer02.mtx
full_eval,Nasa,shuttle_eddy,10429,10429,103599,duplicate structural problem,downloaded,data/full_eval_10k_20k/shuttle_eddy.mtx
full_eval,Simon,olafu,16146,16146,1015156,structural problem,downloaded,data/full_eval_10k_20k/olafu.mtx
full_eval,Chen,pkustk02,10800,10800,810000,structural problem,downloaded,data/full_eval_10k_20k/pkustk02.mtx
full_eval,Belcastro,human_gene2,14340,14340,18068388,undirected weighted graph,downloaded,data/full_eval_10k_20k/human_gene2.mtx
full_eval,Averous,epb1,14734,14734,95053,thermal problem,downloaded,data/full_eval_10k_20k/epb1.mtx
full_eval,Garon,garon2,13535,13535,373235,computational fluid dynamics problem,downloaded,data/full_eval_10k_20k/garon2.mtx
full_eval,Bai,cryg10000,10000,10000,49699,materials problem,downloaded,data/full_eval_10k_20k/cryg10000.mtx
full_eval,Hohn,fd15,11532,11532,44206,materials problem,downloaded,data/full_eval_10k_20k/fd15.mtx
full_eval,Shen,e40r0100,17281,17281,553562,2D/3D problem,downloaded,data/full_eval_10k_20k/e40r0100.mtx
full_eval,Cunningham,k3plates,11107,11107,378927,acoustics problem,downloaded,data/full_eval_10k_20k/k3plates.mtx
full_eval,Pothen,bodyy6,19366,19366,134208,structural problem,downloaded,data/full_eval_10k_20k/bodyy6.mtx
full_eval,GHS_psdef,ford1,18728,18728,101576,structural problem,downloaded,data/full_eval_10k_20k/ford1.mtx
full_eval,ML_Graph,Fashion_MNIST_norm_10NN,10000,10000,158304,undirected weighted graph,downloaded,data/full_eval_10k_20k/Fashion_MNIST_norm_10NN.mtx
full_eval,Newman,cond-mat,16726,16726,95188,undirected weighted graph,downloaded,data/full_eval_10k_20k/cond-mat.mtx
full_eval,Schenk_IBMNA,c-46,14913,14913,130397,optimization problem,downloaded,data/full_eval_10k_20k/c-46.mtx
full_eval,Andrianov,net50,16320,16320,945200,optimization problem,downloaded,data/full_eval_10k_20k/net50.mtx
full_eval,AG-Monien,crack,10240,10240,60760,2D/3D problem,downloaded,data/full_eval_10k_20k/crack.mtx
full_eval,FEMLAB,sme3Da,12504,12504,874887,structural problem,downloaded,data/full_eval_10k_20k/sme3Da.mtx
full_eval,GHS_indef,stokes64s,12546,12546,140034,computational fluid dynamics problem,downloaded,data/full_eval_10k_20k/stokes64s.mtx
full_eval,Schenk_ISEI,nmos3,18588,18588,237130,semiconductor device problem,downloaded,data/full_eval_10k_20k/nmos3.mtx
full_eval,HB,bcsstk25,15439,15439,252241,structural problem,downloaded,data/full_eval_10k_20k/bcsstk25.mtx
full_eval,TSOPF,TSOPF_RS_b300_c1,14538,14538,1474325,power network problem,downloaded,data/full_eval_10k_20k/TSOPF_RS_b300_c1.mtx
full_eval,VDOL,hangGlider_5,16011,16011,155246,optimal control problem,downloaded,data/full_eval_10k_20k/hangGlider_5.mtx
full_eval,Oberwolfach,LFAT5000,19994,19994,79966,model reduction problem,downloaded,data/full_eval_10k_20k/LFAT5000.mtx
full_eval,Rommes,xingo_afonso_itaipu,13250,13250,48735,eigenvalue/model reduction problem,downloaded,data/full_eval_10k_20k/xingo_afonso_itaipu.mtx
full_eval,Hollinger,jan99jac040,13694,13694,72734,economic problem,downloaded,data/full_eval_10k_20k/jan99jac040.mtx
full_eval,PARSEC,Si10H16,17077,17077,875923,theoretical/quantum chemistry problem,downloaded,data/full_eval_10k_20k/Si10H16.mtx
full_eval,JGD_Trefethen,Trefethen_20000b,19999,19999,554435,combinatorial problem,downloaded,data/full_eval_10k_20k/Trefethen_20000b.mtx
full_eval,Pajek,foldoc,13356,13356,120238,directed weighted graph,downloaded,data/full_eval_10k_20k/foldoc.mtx
full_eval,Mallya,lhr14,14270,14270,305750,chemical process simulation problem,downloaded,data/full_eval_10k_20k/lhr14.mtx
full_eval,SNAP,p2p-Gnutella04,10879,10879,39994,directed graph,downloaded,data/full_eval_10k_20k/p2p-Gnutella04.mtx
full_eval,Goodwin,Goodwin_030,10142,10142,312814,computational fluid dynamics,downloaded,data/full_eval_10k_20k/Goodwin_030.mtx
full_eval,Boeing,msc10848,10848,10848,1229776,structural problem,downloaded,data/full_eval_10k_20k/msc10848.mtx
full_eval,Rajat,rajat07,14842,14842,63913,circuit simulation problem,downloaded,data/full_eval_10k_20k/rajat07.mtx
full_eval,Bindel,ted_A_unscaled,10605,10605,424587,thermal problem,downloaded,data/full_eval_10k_20k/ted_A_unscaled.mtx
full_eval,FIDAP,ex11,16614,16614,1096948,computational fluid dynamics problem,downloaded,data/full_eval_10k_20k/ex11.mtx
full_eval,DIMACS10,delaunay_n14,16384,16384,98244,undirected graph,downloaded,data/full_eval_10k_20k/delaunay_n14.mtx
full_eval,TKK,cyl6,13681,13681,714241,structural problem,downloaded,data/full_eval_10k_20k/cyl6.mtx
full_eval,Gaertner,pesa,11738,11738,79566,directed weighted graph,downloaded,data/full_eval_10k_20k/pesa.mtx
full_eval,Grund,bayer10,13436,13436,71594,chemical process simulation problem,downloaded,data/full_eval_10k_20k/bayer10.mtx
full_eval,Nasa,skirt,12598,12598,196520,duplicate structural problem,exists,data/full_eval_10k_20k/skirt.mtx
full_eval,Simon,raefsky4,19779,19779,1316789,structural problem,downloaded,data/full_eval_10k_20k/raefsky4.mtx
full_eval,Chen,pkustk07,16860,16860,2418804,structural problem,downloaded,data/full_eval_10k_20k/pkustk07.mtx
full_eval,Hohn,sinc15,11532,11532,551184,materials problem,downloaded,data/full_eval_10k_20k/sinc15.mtx
full_eval,Pothen,shuttle_eddy,10429,10429,103599,structural problem,exists,data/full_eval_10k_20k/shuttle_eddy.mtx
full_eval,Rothberg,cfd1,70656,70656,1825580,computational fluid dynamics problem,downloaded,data/case_study_50k_100k/cfd1.mtx
full_eval,TAMU_SmartGridCenter,ACTIVSg70K,69999,69999,238627,power network problem,downloaded,data/case_study_50k_100k/ACTIVSg70K.mtx
full_eval,Andrianov,mip1,66463,66463,10352819,optimization problem,downloaded,data/case_study_50k_100k/mip1.mtx
full_eval,Oberwolfach,t3dh_e,79171,79171,4352105,duplicate model reduction problem,downloaded,data/case_study_50k_100k/t3dh_e.mtx
full_eval,Koutsovasilis,F2,71505,71505,5294285,structural problem,downloaded,data/case_study_50k_100k/F2.mtx
full_eval,TKK,s4dkt3m2,90449,90449,3753461,structural problem,downloaded,data/case_study_50k_100k/s4dkt3m2.mtx
full_eval,Schenk_IBMSDS,ibm_matrix_2,51448,51448,537038,semiconductor device problem,downloaded,data/case_study_50k_100k/ibm_matrix_2.mtx
full_eval,Lee,fem_filter,74062,74062,1731206,electromagnetics problem,downloaded,data/case_study_50k_100k/fem_filter.mtx
full_eval,Chen,pkustk11,87804,87804,5217912,structural problem,downloaded,data/case_study_50k_100k/pkustk11.mtx
full_eval,GHS_psdef,s3dkq4m2,90449,90449,4427725,structural problem,downloaded,data/case_study_50k_100k/s3dkq4m2.mtx
full_eval,FEMLAB,poisson3Db,85623,85623,2374949,computational fluid dynamics problem,downloaded,data/case_study_50k_100k/poisson3Db.mtx
full_eval,Cunningham,qa8fk,66127,66127,1660579,acoustics problem,downloaded,data/case_study_50k_100k/qa8fk.mtx
full_eval,Sanghavi,ecl32,51993,51993,380415,semiconductor device problem,downloaded,data/case_study_50k_100k/ecl32.mtx
full_eval,Averous,epb3,84617,84617,463625,thermal problem,downloaded,data/case_study_50k_100k/epb3.mtx
full_eval,Goodwin,Goodwin_071,56021,56021,1797934,computational fluid dynamics,downloaded,data/case_study_50k_100k/Goodwin_071.mtx
full_eval,Chevron,Chevron2,90249,90249,803173,other problem,downloaded,data/case_study_50k_100k/Chevron2.mtx
full_eval,FlowIPM22,uni_chimera_i3,100000,100000,499696,undirected weighted graph,downloaded,data/case_study_50k_100k/uni_chimera_i3.mtx
full_eval,MaxPlanck,shallow_water2,81920,81920,327680,computational fluid dynamics problem,downloaded,data/case_study_50k_100k/shallow_water2.mtx
full_eval,Castrillon,denormal,89400,89400,1156224,counter-example problem,downloaded,data/case_study_50k_100k/denormal.mtx
full_eval,VLSI,nv1,75468,75468,1635003,semiconductor device problem,downloaded,data/case_study_50k_100k/nv1.mtx
